Salon Name,Phone,Address,Rating,Reviews,Website,Latitude,Longitude
"Cheritan Makeup Studio & Academy - Makeup Course & Bridal Makeup in KPHB, Hyderabad",099515 68989,"saibaba temple, near Kphb metro station, Venkat Nagar, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India",4.9,174,https://www.cheritan.com/,17.4943296,78.4031176
Priya Bridal Makeup Artist,093472 27585,"H.no 4-32--1247, plot no 373, Phase 2, near manna medical and general Store, Shiva Nagar, Allwyn Colony, Kukatpally, Hyderabad, Telangana 500072, India",5,86,,17.5044383,78.415781
RELOOKS INDIA-Professional Bridal Makeovers Best MakeUp Artist in Hyderabad-Studio and Academy,080744 75537,"501, Krishna Splender, Road, 18, Sardar Patel Nagar Rd, Kukatpally Housing Board Colony, IDPL Staff Cooperative Housing Society, JNTU, Hyderabad, Telangana 500085, India",5,28,http://www.relooks.in/,17.496534,78.3894214
Mamatha Makeovers – Best Bridal Makeup Artist & Beauty Studio in Hyderabad,,"H.no: 1, H, 1-1-21, 31-4, Hyder Nagar, RamNaresh Nagar, Kukatpally, Miyapur, Hyderabad, Telangana 500085, India",5,14,,17.5011195,78.3803915
Geetha's Makeup Studio & Academy,099483 01234,"302, GRB Avenue, Opp Kavya Hospitals, Bhagyanagar Colony, Metro Station, near KPHB, Kukatpally Housing Board Colony, Gayatri Nagar, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",4.8,115,,17.4942657,78.4055032
Glossy Glow Studio,070750 53018,"Flat No 507 5th Floor, Sai Anusha Lakshmi Heights, opp. to Nsk Exotica, Paparayadu Nagar, Kukatpally, Hyderabad, Telangana 500072, India",4.9,60,,17.490121,78.42342889999999
Pooja Agarwal Makeup Artist,095811 02076,"Comfort Avenue The Elegance, G-4, Rd Number 9-I, Bandari Layout, Vasanth Nagar Colony, Nizampet, Hyderabad, Telangana 500090, India",4.9,159,https://www.instagram.com/poojaagarwal_makeupartist?igsh=cWNpcXRndW52dmE1,17.522612,78.3847285
Shree's makeup and beauty academy,090145 76676,"Flat no 232, 1st floor, HMT Sathavahana Nagar Rd, opp. kphb Colony, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072, India",5,109,,17.4982361,78.4017423
Jyothi Blush Makeup Studio & Academy,077939 93995,"3rd floor, Plot no 32 & 28, Vasanth Nagar Main Rd, beside bank of baroda, Sardar Patel Nagar, Hyder Nagar, Kukatpally, Hyderabad, Telangana 500085, India",5,178,https://jyothiblushacademy.com/,17.4977209,78.3891975
Nikitha Reddy | Bridal Makeup Artist in Hyderabad,083093 65021,"Hi-tension, signix space Aditya Nagar, Nizampet, Lane, Hyder Nagar, Nagarjuna Homes, Kukatpally, Hyderabad, Telangana 500085, India",4.9,59,https://wa.link/iucs95,17.5052879,78.3920069
